"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
144, 4.174999892710000e-01, 5.729416860686566e-02, 5.259194539634083e+04, -1.073566639430650e+00, 1.331637163647633e+00
145, 4.331099987030000e-01, 5.659141825851464e-02, 5.234561028583439e+04, -1.078993287912076e+00, 1.335265859051134e+00
146, 4.487800002100000e-01, 5.581859897363720e-02, 5.208908285556662e+04, -1.084644468480873e+00, 1.338611616841123e+00
147, 4.645099937920000e-01, 5.497835513414191e-02, 5.190462433666399e+04, -1.088708004285538e+00, 1.341429916425766e+00
148, 4.802699983120000e-01, 5.407492053959814e-02, 5.172565292974140e+04, -1.092650661552699e+00, 1.343702451538323e+00
149, 4.960500001910000e-01, 5.311153541819326e-02, 5.155865438470596e+04, -1.096329562213485e+00, 1.346101403845355e+00
150, 5.118399858470000e-01, 5.209138375948307e-02, 5.137584668625827e+04, -1.100356731207521e+00, 1.348715066414745e+00
151, 5.276100039480000e-01, 5.101897737545535e-02, 5.122513666200945e+04, -1.103676803293648e+00, 1.350609449219894e+00
152, 5.433599948880000e-01, 4.989683951066199e-02, 5.110505585572385e+04, -1.106322127883141e+00, 1.352698928505528e+00
153, 5.590599775310000e-01, 4.872955796694115e-02, 5.099575304707226e+04, -1.108730018172776e+00, 1.353717601566158e+00
154, 5.747100114820000e-01, 4.751950934859488e-02, 5.082126299347023e+04, -1.112573953300240e+00, 1.356964932308567e+00
155, 5.902799963950000e-01, 4.627132533375768e-02, 5.103794393580226e+04, -1.107800572419851e+00, 1.354008461010467e+00
156, 6.057599782940000e-01, 4.498807223669178e-02, 5.091064713565365e+04, -1.110604862014609e+00, 1.351433087718916e+00
157, 6.211299896240000e-01, 4.367359094194759e-02, 4.617476200817283e+04, -1.214934219621866e+00, 1.462360709271896e+00
158, 6.363800168040000e-01, 4.233084266562091e-02, 9.677131154001807e+04, -1.003156493422405e-01, 8.159884382413543e-01
159, 6.514999866490000e-01, 4.096270419333766e-02, 1.022770137474584e+05, 2.097242226786068e-02, 7.504389157166077e-01
160, 6.664699912070000e-01, 3.957289370556494e-02, 1.006754110564676e+05, -1.431014379851895e-02, 7.637230821558658e-01
161, 6.812700033190000e-01, 3.816515293304169e-02, 1.009679709172564e+05, -7.865185461025265e-03, 7.615113084621929e-01
162, 6.958900094030001e-01, 3.674225211597043e-02, 1.009141008076905e+05, -9.051919043862409e-03, 7.621700380963958e-01
163, 7.103199958800001e-01, 3.530689307158652e-02, 1.008986989639777e+05, -9.391214532935671e-03, 7.622715089966847e-01
164, 7.245299816130000e-01, 3.386376679305321e-02, 1.010033057697671e+05, -7.086775013060926e-03, 7.610880058830125e-01
165, 7.385200262070000e-01, 3.241453277608040e-02, 1.011640949242168e+05, -3.544664353194224e-03, 7.594109576086748e-01
166, 7.522799968720000e-01, 3.096181144522562e-02, 1.013910993454723e+05, 1.456137990208336e-03, 7.570015816415042e-01
167, 7.657799720760000e-01, 2.951033727360171e-02, 1.016520922639418e+05, 7.205691197476824e-03, 7.541978102928011e-01
168, 7.790099978450000e-01, 2.806276676215449e-02, 1.019559236144992e+05, 1.389895523816483e-02, 7.509788492132576e-01
169, 7.919700145720000e-01, 2.662062628442961e-02, 1.022943946619297e+05, 2.135531576983772e-02, 7.474248385198661e-01
170, 8.046399950980000e-01, 2.518763605296113e-02, 1.026668135278569e+05, 2.955953103206011e-02, 7.435493856867035e-01
171, 8.170099854470000e-01, 2.376642068849115e-02, 1.030668985208601e+05, 3.837321826997844e-02, 7.393925055689369e-01
172, 8.290500044819999e-01, 2.236196298315981e-02, 1.034946622298537e+05, 4.779665481155361e-02, 7.349410496513746e-01
173, 8.407700061800000e-01, 2.097463226217677e-02, 1.039452097179377e+05, 5.772200746223446e-02, 7.302442203262566e-01
174, 8.521599769590000e-01, 1.960709133914372e-02, 1.044232961713106e+05, 6.825403077329349e-02, 7.252642604431744e-01
175, 8.631799817090000e-01, 1.826569132102762e-02, 1.049202661464116e+05, 7.920204932879576e-02, 7.200724677380482e-01
176, 8.738499879840000e-01, 1.694956337677533e-02, 1.054397164429965e+05, 9.064529896277269e-02, 7.146362546249603e-01
177, 8.841500282290000e-01, 1.566269158090452e-02, 1.059786247269848e+05, 1.025171990541579e-01, 7.089852462398156e-01
178, 8.940600156780000e-01, 1.440916392228702e-02, 1.065372799885865e+05, 1.148241159235328e-01, 7.031143023781702e-01
179, 9.035800099370001e-01, 1.319055953446835e-02, 1.071162765992077e+05, 1.275791432979042e-01, 6.970187615582913e-01
180, 9.126999974250000e-01, 1.200973104171110e-02, 1.077152239646602e+05, 1.407736765680658e-01, 6.906933076066913e-01
181, 9.214000105860000e-01, 1.087086069705918e-02, 1.083339590194854e+05, 1.544041234774378e-01, 6.841268472732474e-01
182, 9.296900033950000e-01, 9.774221272349531e-03, 1.089754861776156e+05, 1.685366698745116e-01, 6.772905747013256e-01
183, 9.375399947170000e-01, 8.725349486403867e-03, 1.096389137879636e+05, 1.831516730984886e-01, 6.702031008341788e-01
184, 9.449599981310000e-01, 7.724467125531491e-03, 1.103268108790092e+05, 1.983057276578465e-01, 6.628218103772306e-01
185, 9.519400000570000e-01, 6.774428848839826e-03, 1.110408012505851e+05, 2.140346051114050e-01, 6.551249503585850e-01
186, 9.584699869160000e-01, 5.878077433056352e-03, 1.117830805645597e+05, 2.303866748739837e-01, 6.470772608170227e-01
187, 9.645400047300000e-01, 5.038225493362627e-03, 1.125575083336056e+05, 2.474469602235919e-01, 6.386341786405673e-01
188, 9.701499938960000e-01, 4.256268552403566e-03, 1.133671211122871e+05, 2.652823550519696e-01, 6.297310141131763e-01
189, 9.752799868580000e-01, 3.536324145770189e-03, 1.142181289822061e+05, 2.840296645828073e-01, 6.202997937746291e-01
190, 9.799500107769999e-01, 2.876826092032643e-03, 1.151181960039398e+05, 3.038577245237172e-01, 6.102011274419263e-01
191, 9.841300249100000e-01, 2.283176811071472e-03, 1.160765443848681e+05, 3.249696958352751e-01, 5.993145279264548e-01
192, 9.878399968150000e-01, 1.753609743384430e-03, 1.171067189036585e+05, 3.476639637230465e-01, 5.873719612521735e-01
193, 9.910500049590000e-01, 1.293363843462116e-03, 1.182254124133913e+05, 3.723082640149998e-01, 5.741157001704718e-01
194, 9.937800168990000e-01, 9.004365425509819e-04, 1.194609708400065e+05, 3.995270443411965e-01, 5.590837735108682e-01
195, 9.960200190539999e-01, 5.769983605901485e-04, 1.208449243104795e+05, 4.300148988068686e-01, 5.417100239257129e-01
196, 9.977599978450000e-01, 3.251111630156300e-04, 1.224719350085315e+05, 4.658571915100692e-01, 5.200402161389830e-01
197, 9.990000128750000e-01, 1.452537504052920e-04, 1.244091892596067e+05, 5.085340061067344e-01, 4.929136882996464e-01
198, 9.997500181200000e-01, 3.632896519016437e-05, 1.255261234656442e+05, 5.331395497524807e-01, 4.673455940325839e-01
