TITLE = "SU2 Simulation"
VARIABLES = "Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
ZONE T= "Convergence history"
          17, 0.2453448143, 0.0284084414, 0.0000000000, 0.0000000000, 0.0000000000, 0.0343841427, 0.0230495120, 0.2459061557, 0.0000000000, 8.6363349217, -1.1789725745, 1.2767990089, 1.3929960637, 4.2761357319, 0.0000000000, 4.0000000000, 1.0000000000, 0.0516666667
          18, 0.2519545330, 0.0274622882, 0.0000000000, 0.0000000000, 0.0000000000, 0.0353446482, 0.0219593937, 0.2524936613, 0.0000000000, 9.1745644492, -1.1966845134, 1.2661314535, 1.3711838146, 4.2582277644, 0.0000000000, 4.0000000000, 1.0000000000, 0.0546666667
          19, 0.2582398557, 0.0265855960, 0.0000000000, 0.0000000000, 0.0000000000, 0.0361308943, 0.0209457965, 0.2587583634, 0.0000000000, 9.7135251786, -1.2183086481, 1.2552984984, 1.3456648477, 4.2364519497, 0.0000000000, 4.0000000000, 1.0000000000, 0.0575000000
          20, 0.2640864058, 0.0257649553, 0.0000000000, 0.0000000000, 0.0000000000, 0.0367054678, 0.0199978093, 0.2645856199, 0.0000000000, 10.2498297757, -1.2421175904, 1.2533635474, 1.3196682052, 4.2143225024, 0.0000000000, 4.0000000000, 1.0000000000, 0.0603333333
          21, 0.2693990624, 0.0249911968, 0.0000000000, 0.0000000000, 0.0000000000, 0.0370537343, 0.0191083400, 0.2698801328, 0.0000000000, 10.7797583511, -1.2667871097, 1.2446937865, 1.2932381071, 4.1909255317, 0.0000000000, 4.0000000000, 1.0000000000, 0.0633333333
          22, 0.2742867174, 0.0242548666, 0.0000000000, 0.0000000000, 0.0000000000, 0.0372491412, 0.0182655614, 0.2747505617, 0.0000000000, 11.3085230204, -1.2902539109, 1.2269695605, 1.2631925159, 4.1671159394, 0.0000000000, 4.0000000000, 1.0000000000, 0.0660000000
          23, 0.2787300174, 0.0235766773, 0.0000000000, 0.0000000000, 0.0000000000, 0.0372843186, 0.0174906034, 0.2791780098, 0.0000000000, 11.8222773465, -1.3163323542, 1.2033952081, 1.2312337310, 4.1397416546, 0.0000000000, 4.0000000000, 1.0000000000, 0.0690000000
          24, 0.2827543686, 0.0229781837, 0.0000000000, 0.0000000000, 0.0000000000, 0.0371637565, 0.0168044614, 0.2831883472, 0.0000000000, 12.3053402622, -1.3406702576, 1.1790583057, 1.1954055025, 4.1131156862, 0.0000000000, 4.0000000000, 1.0000000000, 0.0720000000
          25, 0.2865222174, 0.0224720814, 0.0000000000, 0.0000000000, 0.0000000000, 0.0369681204, 0.0162162844, 0.2869442587, 0.0000000000, 12.7501414909, -1.3621889088, 1.1528433782, 1.1589240114, 4.0887061451, 0.0000000000, 4.0000000000, 1.0000000000, 0.0748333333
          26, 0.2899857856, 0.0220568438, 0.0000000000, 0.0000000000, 0.0000000000, 0.0366802580, 0.0157255883, 0.2903979443, 0.0000000000, 13.1472021843, -1.3822326096, 1.1254094732, 1.1223213273, 4.0660274201, 0.0000000000, 4.0000000000, 1.0000000000, 0.0776666667
          27, 0.2930485357, 0.0217281845, 0.0000000000, 0.0000000000, 0.0000000000, 0.0362663915, 0.0153301936, 0.2934527960, 0.0000000000, 13.4870235509, -1.4028920554, 1.0968665097, 1.0859538680, 4.0414734895, 0.0000000000, 4.0000000000, 1.0000000000, 0.0805000000
          28, 0.2958391967, 0.0215148352, 0.0000000000, 0.0000000000, 0.0000000000, 0.0358083992, 0.0150560172, 0.2962381386, 0.0000000000, 13.7504747019, -1.4229714414, 1.0639751404, 1.0520805089, 4.0169581660, 0.0000000000, 4.0000000000, 1.0000000000, 0.0833333333
          29, 0.2983247491, 0.0214076191, 0.0000000000, 0.0000000000, 0.0000000000, 0.0352847668, 0.0148946045, 0.2987207606, 0.0000000000, 13.9354473775, -1.4435796990, 1.0308397816, 1.0176744413, 3.9913852206, 0.0000000000, 4.0000000000, 1.0000000000, 0.0863333333
          30, 0.3006154552, 0.0213893167, 0.0000000000, 0.0000000000, 0.0000000000, 0.0347486376, 0.0148263351, 0.3010105224, 0.0000000000, 14.0544674125, -1.4634543199, 0.9966990560, 0.9835763558, 3.9659941813, 0.0000000000, 4.0000000000, 1.0000000000, 0.0891666667
          31, 0.3023936521, 0.0214452718, 0.0000000000, 0.0000000000, 0.0000000000, 0.0340909981, 0.0148434857, 0.3027895168, 0.0000000000, 14.1007143473, -1.4820917484, 0.9642849131, 0.9505156731, 3.9424267374, 0.0000000000, 4.0000000000, 1.0000000000, 0.0921666667
          32, 0.3038969823, 0.0215746006, 0.0000000000, 0.0000000000, 0.0000000000, 0.0334538394, 0.0149399887, 0.3042953105, 0.0000000000, 14.0858682878, -1.4985835263, 0.9367873032, 0.9175501631, 3.9232393302, 0.0000000000, 4.0000000000, 1.0000000000, 0.0950000000
          33, 0.3052451965, 0.0217649044, 0.0000000000, 0.0000000000, 0.0000000000, 0.0328849770, 0.0151008361, 0.3056473553, 0.0000000000, 14.0246513458, -1.5146936340, 0.9125238154, 0.8857850950, 3.9049378245, 0.0000000000, 4.0000000000, 1.0000000000, 0.0980000000
          34, 0.3063016586, 0.0219776390, 0.0000000000, 0.0000000000, 0.0000000000, 0.0323284655, 0.0152904735, 0.3067082067, 0.0000000000, 13.9369683229, -1.5309534780, 0.8930043886, 0.8564703451, 3.8866668347, 0.0000000000, 4.0000000000, 1.0000000000, 0.1008333333
